id,created_at,text
1.6042401832005837e+18,Sat Dec 17 22:20:39 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…"
1.6042400175216148e+18,Sat Dec 17 22:20:00 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook - The Dail… https://t.co/MuhwydROAq
1.6042394949783552e+18,Sat Dec 17 22:17:55 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…"
1.6042393661000294e+18,Sat Dec 17 22:17:24 +0000 2022,BTC for BINANCE:BTCUSDT by BlueWhale90 #bitcoin #crypto #btc $btc https://t.co/w4nIuCx871 https://t.co/1ZgwiNyXvQ
1.604239338807722e+18,Sat Dec 17 22:17:18 +0000 2022,🔥 BTC❓ Check the post https://t.co/6dI3XQ40rV #bitcoin @tradingview #crypto $btc #btc
1.6042391709348168e+18,Sat Dec 17 22:16:38 +0000 2022,"RT @TATrader_Alan: #Bitcoin macro chart appears a very simple chart pattern.

&lt;Breakout and Retest (Falling wedge form)&gt;

#BTC #Cryptos htt…"
1.6042390638753096e+18,Sat Dec 17 22:16:12 +0000 2022,BTC VS A1000x true reversal point  for BINANCE:BTCUSDT by Aadil1000x #Bitcoin $BTC https://t.co/w2wLCTVV5s https://t.co/fl2X0hJcjx
1.6042390364736758e+18,Sat Dec 17 22:16:06 +0000 2022,Thoughts on $BTC #Bitcoin! See Aadil1000x's idea on TradingView below. https://t.co/snMcvoxUON
1.604238683770458e+18,Sat Dec 17 22:14:42 +0000 2022,"RT @PositiveCrypto: NUPL (Net Unrealized Profit Loss)

How much longer will #Bitcoin spend in Capitulation territory?

Free live chart: htt…"
1.6042381833188844e+18,Sat Dec 17 22:12:42 +0000 2022,RT @bitcoinagile: Huge BTCUSDT Falling Wedge for BINANCE:BTCUSDT by Traders_Endeavors #Bitcoin $BTC https://t.co/tCXTZLIHcQ https://t.co/Zu…
